,SRM1950_1,SRM1950_2,SRM1950_3,SRM1950_4,AA_1,AA_2,AA_3,AA_4,T1D_1,T1D_2,T1D_3,T1D_4
O-TG 54:1,0.003158178,0,0,0,0,0,0,0,0,0,0,0
O-TG 54:2,0.006071367,0.003896026,0.005545746,0.004508745,0.002068173,0.001398638,0.001865904,0.00159945,0,0,0.003634079,0.003713632
O-TG 54:3,0.005585603,0.004177977,0.005900851,0.006435721,0.001175302,0,0,0,0,0,0.003234558,0.003702283
O-TG 56:2,0.004122333,0.002635664,0.00388734,0,0,0,0,0,0,0,0,0
LPC 14:0,0.024535372,0.023912527,0.016822086,0.019206093,0.016626595,0.026577924,0.030675186,0.010723068,0.027968775,0.035527271,0.025153475,0.041217535
LPC 16:0,2.898166711,2.839802683,2.054859855,2.212028578,3.442502895,5.378490684,5.923727041,2.112799646,3.46166395,3.697968568,2.91395678,5.100315368
LPC 16:1,0.196881348,0.1908491,0.13526413,0.169168332,0.107787659,0.160927704,0.196472547,0.062263502,0.159511159,0.162589521,0.129737646,0.24217953
LPC 18:0,1.938316433,1.761475718,1.249921604,1.735478748,2.727888432,4.012822701,4.882560349,1.603917513,2.426784637,2.403374154,2.25003038,3.137880529
LPC 18:1,1.196231582,1.097296683,0.754996564,1.012306561,1.024383274,1.604486665,1.90350737,0.634779081,1.120643412,1.008822881,1.020532707,1.382203068
LPC 18:2,1.292601173,1.174533278,0.867346832,0.923476085,1.207735596,1.875092173,1.957253363,0.689470874,0.967150771,1.062247544,0.712460444,1.344596021
LPC 18:3,0.032114803,0.029397018,0.021610569,0.021753558,0.022350518,0.039429045,0.040988536,0.01464739,0.026207055,0.0321693,0.019064654,0.036766892
LPC 20:0,0.012484048,0.012259971,0.008993032,0.013118296,0.020526998,0.028482518,0.036146456,0.012090135,0.016561574,0.014029761,0.013009693,0.018863686
LPC 20:1,0.02544605,0.025155864,0.016255154,0.022144518,0.033406086,0.04489914,0.066634159,0.02052162,0.032060753,0.029067418,0.028626497,0.03636422
LPC 20:2,0.018632205,0.017909422,0.012558135,0.013530949,0.025168252,0.044504284,0.04785141,0.016362902,0.021383905,0.024326063,0.016908159,0.027353028
LPC 20:3,0.142825878,0.141162476,0.097975553,0.134033083,0.13473364,0.180537374,0.234961213,0.075704273,0.143098493,0.136449316,0.137340571,0.198598337
LPC 20:4,0.49014074,0.427672507,0.330906169,0.334455548,0.63947818,0.874169097,1.056045517,0.370133775,0.555429694,0.584370209,0.395455792,0.731266557
LPC 20:5,0.019077875,0.021194081,0.013383116,0.021033557,0.015646627,0.022471052,0.028735738,0.009210935,0.048679142,0.037740171,0.043303749,0.055560398
LPC 22:0,0.003828695,0.00405461,0.002539222,0.003296013,0.004692553,0.006928395,0.007541521,0.002734836,0.003373259,0.003816396,0.002422716,0.004301993
LPC 22:1,0.002766546,0.002723386,0.001819412,0.002372392,0.002921575,0.004661412,0.005278,0.001791097,0.00287012,0.002955118,0.00203883,0.003192944
LPC 22:2,0.00100497,0.000851,0.000642,0.000809,0.001187043,0.002022747,0.002221337,0.000852,0.000899,0.000932,0.000855,0.001259821
LPC 22:3,0.000796,0.000653,0.000511,0.000616,0.001023327,0.001516026,0.001822534,0.000557,7.00E-04,0.000672,0.000577,0.000953
LPC 22:4,0.019179681,0.019660516,0.012867213,0.015300304,0.024584427,0.037702482,0.046654129,0.015229597,0.019217743,0.019500258,0.013491053,0.023047125
LPC 22:5,0.043838767,0.04230972,0.028310775,0.037989314,0.043703504,0.061678038,0.075331706,0.025557076,0.05391471,0.04882212,0.044513382,0.065307022
LPC 22:6,0.067575424,0.060839838,0.045391426,0.041135443,0.085680075,0.135734087,0.150901151,0.049116004,0.087500156,0.100921941,0.054567743,0.114844633
LPC 24:0,0.005380993,0.004987676,0.003669112,0.004935152,0.005609536,0.000428,0.00942292,0.000179,0.004837438,0.005037273,0.003780492,0.005863377
LPC 24:1,0.002966357,0.00293416,0.00180431,0.002708491,0.002724941,0.004296802,0.004780036,0.001667763,0.002645782,0.002626637,0.001942517,0.003037307
LPC 26:0,0.001521692,0.001387557,0.000744,0.001102581,0.001584734,0.002280464,0.002270454,0.000772,0.00111607,0.001244753,0.00086,0.001297303
LPE 16:0,0.121238299,0.126688926,0.066985155,0.104303892,0.131280564,0.226189129,0.26072807,0.097168095,0.204468439,0.201539416,0.139190423,0.232442804
